DeltaR1Voxel,TissueCategory
5.04E-03,TUMOUR
4.99E-03,TUMOUR
4.93E-03,TUMOUR
5.14E-03,TUMOUR
5.09E-03,TUMOUR
5.05E-03,TUMOUR
5.00E-03,TUMOUR
4.95E-03,TUMOUR
4.89E-03,TUMOUR
4.84E-03,TUMOUR
4.79E-03,TUMOUR
4.73E-03,TUMOUR
4.68E-03,TUMOUR
4.91E-03,TUMOUR
4.86E-03,TUMOUR
4.81E-03,TUMOUR
4.77E-03,TUMOUR
4.72E-03,TUMOUR
4.66E-03,TUMOUR
4.61E-03,TUMOUR
4.56E-03,TUMOUR
4.50E-03,TUMOUR
4.45E-03,TUMOUR
4.70E-03,TUMOUR
4.66E-03,TUMOUR
4.61E-03,TUMOUR
4.56E-03,TUMOUR
4.51E-03,TUMOUR
4.46E-03,TUMOUR
4.41E-03,TUMOUR
4.36E-03,TUMOUR
4.30E-03,TUMOUR
4.25E-03,TUMOUR
4.52E-03,TUMOUR
4.47E-03,TUMOUR
4.42E-03,TUMOUR
4.38E-03,TUMOUR
4.33E-03,TUMOUR
4.28E-03,TUMOUR
4.22E-03,TUMOUR
4.17E-03,TUMOUR
4.12E-03,TUMOUR
4.06E-03,TUMOUR
4.35E-03,TUMOUR
4.30E-03,TUMOUR
4.26E-03,TUMOUR
4.21E-03,TUMOUR
4.16E-03,TUMOUR
4.11E-03,TUMOUR
4.06E-03,TUMOUR
4.01E-03,TUMOUR
3.96E-03,TUMOUR
3.90E-03,TUMOUR
4.20E-03,TUMOUR
4.15E-03,TUMOUR
4.11E-03,TUMOUR
4.06E-03,TUMOUR
4.01E-03,TUMOUR
3.96E-03,TUMOUR
3.91E-03,TUMOUR
3.86E-03,TUMOUR
3.81E-03,TUMOUR
3.75E-03,TUMOUR
